Epoch	TestStd
1	0.8050558567047119
2	1.4550616443157196
3	1.1796684861183167
4	1.1687832653522492
5	1.2437814593315124
6	1.3515487492084504
7	1.4340046644210815
8	1.188250857591629
9	1.0542124420404435
10	1.3679562866687776
11	1.0545416831970216
12	1.365127682685852
13	1.1970603913068771
14	1.19245542883873
15	1.05738265812397
16	1.1013067096471787
17	1.538784110546112
18	1.429551124572754
19	1.3181160509586334
20	1.2763183891773224
21	1.280563873052597
22	1.2414799749851226
23	1.3267531394958496
24	1.6637392222881318
25	1.2314418852329254
26	1.097513696551323
27	1.1099101543426513
28	1.216589868068695
29	1.3181187391281128
30	1.1193097829818726
31	1.197081583738327
32	1.303945404291153
33	1.2699115037918092
34	1.2224715262651444
35	1.2536636859178543
36	1.2660199642181396
37	1.259885162115097
38	1.2545801520347595
39	1.4518489003181458
40	1.2301029920578004
41	1.315823459625244
42	1.3972359418869018
43	1.335852473974228
44	1.2698429882526399
45	1.5488313794136048
46	1.300110924243927
47	1.2706809997558595
48	1.42084059715271
49	1.460354071855545
50	1.3275885879993439
51	1.2912333488464356
52	1.577225935459137
53	1.4891035079956054
54	1.32507563829422
55	1.366197407245636
56	1.4709476053714752
57	1.2306662261486054
58	1.3719216942787171
59	1.4985907912254333
60	1.295482736825943
61	1.370545995235443
62	1.4595942735671996
63	1.430018377304077
64	1.5442998945713042
65	1.4940677523612975
66	1.5763620257377624
67	1.45648353099823
68	1.4866983056068421
69	1.543811994791031
70	1.3441255986690521
71	1.3909610748291015
72	1.4030469059944153
73	1.455860298871994
74	1.461941510438919
75	1.516612809896469
76	1.4828010201454163
77	1.5265653491020204
78	1.5044288277626037
79	1.4944407165050506
80	1.5177833139896393
81	1.3803987324237823
82	1.3123031377792358
83	1.5449076354503632
84	1.4436920046806336
85	1.477606326341629
86	1.5912485599517823
87	1.4773647248744965
88	1.4429767668247222
89	1.4163706839084624
90	1.4393927097320556
91	1.4991356134414673
92	1.5196810960769653
93	1.500816947221756
94	1.5136548101902008
95	1.5553495049476624
96	1.5862463176250459
97	1.5455468237400054
98	1.5440328478813172
99	1.5552845537662505
100	1.5088530778884888
101	1.5701402425765991
102	1.5511195838451386
103	1.6595609307289123
104	1.550020956993103
105	1.542867648601532
106	1.5838809311389923
107	1.5357724606990815
108	1.5052670896053315
109	1.6295615136623383
110	1.5302581012248992
111	1.5729110896587373
112	1.7417725801467896
113	1.6656821012496947
114	1.606507033109665
115	1.4898078978061675
116	1.542246699333191
117	1.6095016419887542
118	1.6365538775920867
119	1.5138993322849275
120	1.471192181110382
121	1.513885259628296
122	1.526940393447876
123	1.5372951328754425
124	1.54187673330307
125	1.5555906295776367
126	1.544908583164215
127	1.5518402993679046
128	1.5581862390041352
129	1.5707987844944
130	1.5745705246925354
131	1.585659271478653
132	1.569876140356064
133	1.5702582061290742
134	1.5691108047962188
135	1.5873683571815491
136	1.5774108290672302
137	1.586311501264572
138	1.5922967076301575
139	1.5898956179618835
140	1.59013112783432
141	1.5956409275531769
142	1.5931994676589967
143	1.5939139425754547
144	1.5984561800956727
145	1.596890103816986
146	1.5964508712291718
147	1.5944043695926666
148	1.5934833109378814
149	1.6032953441143036
150	1.605355554819107
151	1.6036474347114562
152	1.5968725025653838
153	1.6035220503807068
154	1.6155246257781983
155	1.6052906811237335
156	1.596715360879898
157	1.6045170068740844
158	1.6061176359653473
159	1.6114113628864288
160	1.6106885910034179
161	1.6052120566368102
162	1.6171460330486298
163	1.6076566994190216
164	1.609222650527954
165	1.606998485326767
166	1.6125606536865233
167	1.6093389749526978
168	1.6189639687538147
169	1.616768580675125
170	1.6142966330051423
171	1.6125556468963622
172	1.6123996138572694
173	1.6156110882759094
174	1.6202160894870759
175	1.6142197370529174
176	1.619156277179718
177	1.626934564113617
178	1.6179971992969513
179	1.6217408001422882
180	1.6241142272949218
181	1.6232405006885529
182	1.6227943480014801
183	1.6256879627704621
184	1.6226088941097259
185	1.62496680021286
186	1.6187668442726135
187	1.627938312292099
188	1.622741949558258
189	1.628022986650467
190	1.6250968813896178
191	1.6216017425060272
192	1.6263979971408844
193	1.6207692742347717
194	1.6259874105453491
195	1.6293789267539978
196	1.62749485373497
197	1.6237636089324952
198	1.6245757699012757
199	1.633839774131775
200	1.622990620136261
201	1.6252138674259187
202	1.631978178024292
203	1.6235741198062896
204	1.623874843120575
205	1.627922385931015
206	1.6289928615093232
207	1.6344951927661895
208	1.6282968759536742
209	1.6314925730228425
210	1.6279244005680085
211	1.6316641211509704
212	1.627038162946701
213	1.6272895276546477
214	1.6266201615333558
215	1.6325517296791077
216	1.6321258783340453
217	1.6285050570964814
218	1.6308984458446503
219	1.6288918197154998
220	1.6312276601791382
221	1.6319033265113831
222	1.6351725280284881
223	1.6279631316661836
224	1.6312728703022004
225	1.6371582388877868
226	1.6317394196987152
227	1.6345929861068726
228	1.6275483131408692
229	1.626841175556183
230	1.6297960519790649
231	1.6323452472686768
232	1.6357133865356446
233	1.6350130021572113
234	1.6338202834129334
235	1.6294918358325958
236	1.6334249377250671
237	1.6361113250255586
238	1.6306847214698792
239	1.6252836227416991
240	1.6335607826709748
241	1.6353199183940887
242	1.6324568450450898
243	1.6359387934207916
244	1.6295110404491424
245	1.6304630637168884
246	1.6342768788337707
247	1.6371095597743988
248	1.6369812786579132
249	1.6372179687023163
250	1.6349838078022003
251	1.6324916064739228
252	1.637501412630081
253	1.6274535417556764
254	1.6343902945518494
255	1.627345871925354
256	1.635410976409912
257	1.6327403426170348
258	1.6316416203975677
259	1.631201696395874
260	1.642818945646286
261	1.6329200565814972
262	1.632278597354889
263	1.6356632888317109
264	1.6262236773967742
265	1.6284063100814818
266	1.6394991874694824
267	1.6322398722171783
268	1.6312945783138275
269	1.6354268074035645
270	1.6354209780693054
271	1.6353886544704437
272	1.6291123807430268
273	1.6366719543933868
274	1.6404320478439331
275	1.641483300924301
276	1.6339336276054381
277	1.6323261559009552
278	1.635868489742279
279	1.6314645171165467
280	1.630688375234604
281	1.6316482245922088
282	1.636216115951538
283	1.6362724363803864
284	1.6387467682361603
285	1.6349541664123535
286	1.6311580181121825
287	1.6312029719352723
288	1.6269068837165832
289	1.6299127519130707
290	1.6406023621559143
291	1.6333879768848418
292	1.634153962135315
293	1.62783722281456
294	1.638055044412613
295	1.6382326900959014
296	1.634442150592804
297	1.6327505707740784
298	1.637672632932663
299	1.640043967962265
300	1.6348757207393647
